page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,17.339307999918674
1,id-0-1-9,9,9,True,18.344059999890305
1,id-0-2-4,4,4,True,19.73519199987095
1,id-0-3-3,3,3,True,19.110577999981615
1,id-0-4-2,2,2,True,18.875231000038184
1,id-0-5-4,4,4,True,20.24479900001097
1,id-0-6-8,8,3,False,19.67238899987933
1,id-1-0-7,7,3,False,19.41008900007546
1,id-1-1-0,0,3,False,19.07883099988794
1,id-1-2-1,1,1,True,20.136347000061505
1,id-1-3-3,3,7,False,19.354481000164014
1,id-1-4-4,4,4,True,18.727278000142178
1,id-2-0-7,7,2,False,18.612155000027997
1,id-2-1-6,6,4,False,20.09602599991922
1,id-2-2-2,2,2,True,21.276801000112755
1,id-2-3-5,5,3,False,19.126880999920104
1,id-2-4-8,8,9,False,19.534415999942212
1,id-3-0-0,0,0,True,20.642882000174723
1,id-3-1-8,8,8,True,18.74441400013893
1,id-3-2-6,6,4,False,19.148948999827553
1,id-3-3-6,6,6,True,20.585301999972216
1,id-3-4-4,4,4,True,20.313824000140812
1,id-3-5-3,3,3,True,20.325224000089293
1,id-4-0-2,2,3,False,20.767462999856434
1,id-4-1-9,9,0,False,21.2982819998615
1,id-4-2-4,4,4,True,21.440464000079373
1,id-5-0-5,5,5,True,21.325934000060442
1,id-5-1-1,1,1,True,22.06256099998427
1,id-6-0-6,6,6,True,20.712302999982057
1,id-7-0-1,1,1,True,20.84068500016656
1,id-7-1-1,1,1,True,19.557139999960782
1,id-8-0-0,0,0,True,19.135935000122117
1,id-8-1-7,7,7,True,18.832571000075404
1,id-8-2-7,7,7,True,20.43303300001753
1,id-9-0-5,5,5,True,20.393828999885955
1,id-9-1-6,6,6,True,19.394475000126477
1,id-9-2-3,3,5,False,18.50280600001497
1,id-9-3-7,7,7,True,20.285497000031683
1,id-9-4-8,8,0,False,19.973733999904653
1,id-10-0-8,8,8,True,20.351172999880873
1,id-10-1-1,1,1,True,19.974862000026405
1,id-10-2-7,7,7,True,20.67178600009356
1,id-10-3-2,2,2,True,19.73361900013515
1,id-10-4-3,3,3,True,19.522168000094098
1,id-10-5-0,0,0,True,21.70408399979351
1,id-10-6-4,4,4,True,20.496950000051584
1,id-11-0-8,8,8,True,19.845000000032087
1,id-11-1-8,8,2,False,19.649501999992935
1,id-11-2-7,7,7,True,20.84520500011422
1,id-11-3-2,2,7,False,20.42026200001601
1,id-11-4-3,3,3,True,20.406069000046045
1,id-11-5-3,3,3,True,22.270633000061935
1,id-11-6-7,7,7,True,20.495508999829326
1,id-11-7-0,0,7,False,23.01700299994991
1,id-12-0-4,4,5,False,23.07146999987708
1,id-12-1-8,8,6,False,20.296867999832102
1,id-12-2-5,5,4,False,21.592056999907072
1,id-12-3-0,0,4,False,20.600040000090303
1,id-12-4-5,5,5,True,20.435067000107665
1,id-12-5-4,4,5,False,20.693893000043317
1,id-12-6-7,7,7,True,21.368739999843456
1,id-13-0-7,7,7,True,19.992165999838107
1,id-13-1-1,1,1,True,24.66644199989787
1,id-13-2-3,3,3,True,21.53919100010171
1,id-13-3-6,6,0,False,20.836514000166062
1,id-13-4-3,3,3,True,23.415893999981563
1,id-14-0-2,2,2,True,20.828697999832002
1,id-14-1-5,5,5,True,22.41826299996319
1,id-14-2-4,4,5,False,20.62770499992439
1,id-14-3-2,2,7,False,20.066202999942107
1,id-14-4-2,2,0,False,21.400709999852552
1,id-14-5-0,0,0,True,18.866732000105912
1,id-14-6-7,7,7,True,20.149288000084198
1,id-15-0-6,6,6,True,22.20858399982717
1,id-16-0-3,3,3,True,20.78132499991625
1,id-16-1-6,6,6,True,20.35714899989216
1,id-16-2-9,9,9,True,21.430670000199825
1,id-16-3-1,1,1,True,21.351564000042345
1,id-17-0-7,7,7,True,20.315815000003568
1,id-17-1-2,2,2,True,21.897873999932926
1,id-17-2-1,1,1,True,21.49949799991191
1,id-17-3-2,2,2,True,20.479450000038923
1,id-18-0-6,6,6,True,22.080619999996998
1,id-18-1-3,3,3,True,21.13019900002655
1,id-18-2-7,7,7,True,21.929530000079467
1,id-19-0-3,3,3,True,22.53011599987076
1,id-19-1-1,1,1,True,20.246428999826094
1,id-19-2-3,3,3,True,23.989529000118637
1,id-19-3-4,4,4,True,20.87089399992692
1,id-19-4-7,7,3,False,19.834272999787572
1,id-19-5-8,8,7,False,21.125284999925498
1,id-19-6-8,8,8,True,21.240550000129588
1,id-19-7-5,5,1,False,19.678063999890583
1,id-20-0-3,3,3,True,20.252493000043614
1,id-20-1-7,7,7,True,21.728994999875795
1,id-20-2-5,5,5,True,22.134992000019338
1,id-20-3-3,3,3,True,22.068679999847518
1,id-20-4-0,0,0,True,21.922278000147344
1,id-20-5-2,2,2,True,24.098005000041667
1,id-20-6-7,7,7,True,20.290569000053438
1,id-20-7-6,6,4,False,19.278104000022722
1,id-21-0-2,2,2,True,19.92496499997287
1,id-21-1-6,6,6,True,21.438380000063262
1,id-21-2-3,3,3,True,19.606169000098816
1,id-21-3-7,7,3,False,20.139978000088377
1,id-21-4-3,3,3,True,22.500229000115723
1,id-21-5-8,8,3,False,20.13898700010941
1,id-22-0-7,7,7,True,23.37115500017717
1,id-22-1-2,2,2,True,25.81929300004049
1,id-22-2-7,7,7,True,25.139685000112877
1,id-22-3-5,5,5,True,25.843299000143816
1,id-22-4-4,4,4,True,23.227249999990818
1,id-22-5-3,3,3,True,21.379046999982165
1,id-22-6-6,6,6,True,21.848754000075132
1,id-23-0-6,6,6,True,20.756681999955617
1,id-23-1-0,0,3,False,20.09057500004019
1,id-23-2-4,4,4,True,22.034856000118452
1,id-23-3-9,9,3,False,20.662233999928503
1,id-23-4-0,0,0,True,21.152313999891703
1,id-23-5-0,0,0,True,21.593485999801487
1,id-23-6-1,1,1,True,20.820979000063744
1,id-24-0-9,9,5,False,22.476524000012432
1,id-24-1-2,2,7,False,23.11385000007249
1,id-24-2-6,6,6,True,21.429967000131
1,id-24-3-1,1,1,True,20.858738000015364
1,id-24-4-4,4,4,True,21.22096900006909
1,id-24-5-8,8,8,True,20.10879400017984
1,id-25-0-0,0,0,True,20.85563900004672
1,id-25-1-1,1,1,True,20.16087700008029
1,id-26-0-3,3,3,True,20.032755999864094
1,id-26-1-6,6,6,True,21.020321999912994
