page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,14.477661999990232
1,id-0-1-9,9,9,True,14.734349999343976
1,id-0-2-4,4,4,True,15.259500999491138
1,id-0-3-3,3,3,True,12.999926000702544
1,id-0-4-2,2,2,True,12.78234799974598
1,id-0-5-4,4,4,True,11.86688200050412
1,id-0-6-8,8,8,True,12.155706999692484
1,id-1-0-7,7,7,True,12.2193259994674
1,id-1-1-0,0,0,True,10.764841000309389
1,id-1-2-1,1,1,True,13.032127999395016
1,id-1-3-3,3,3,True,12.59252199997718
1,id-1-4-4,4,4,True,13.84769700052857
1,id-2-0-7,7,7,True,11.54973400025483
1,id-2-1-6,6,6,True,15.543260000413284
1,id-2-2-2,2,2,True,11.632230000031996
1,id-2-3-5,5,5,True,12.238194999554253
1,id-2-4-8,8,8,True,12.046854999425705
1,id-3-0-0,0,0,True,11.746033999770589
1,id-3-1-8,8,8,True,11.291195000012522
1,id-3-2-6,6,4,False,12.907653999718605
1,id-3-3-6,6,6,True,13.767536000159453
1,id-3-4-4,4,4,True,14.19602800069697
1,id-3-5-3,3,3,True,14.78056399992056
1,id-4-0-2,2,2,True,12.800583000171173
1,id-4-1-9,9,8,False,11.806513000010455
1,id-4-2-4,4,4,True,12.044892999256263
1,id-5-0-5,5,5,True,13.556533999690146
1,id-5-1-1,1,1,True,14.62934299979679
1,id-6-0-6,6,6,True,14.073658999222971
1,id-7-0-1,1,1,True,12.508369999522984
1,id-7-1-1,1,1,True,11.05087799987814
1,id-8-0-0,0,0,True,11.484792999908677
1,id-8-1-7,7,7,True,12.874618999376253
1,id-8-2-7,7,7,True,12.131416999181965
1,id-9-0-5,5,5,True,12.771042000167654
1,id-9-1-6,6,6,True,11.949773000196728
1,id-9-2-3,3,3,True,12.960295000084443
1,id-9-3-7,7,3,False,12.76202499957435
1,id-9-4-8,8,3,False,12.201648999507597
1,id-10-0-8,8,8,True,11.61007700011396
1,id-10-1-1,1,3,False,11.727345000508649
1,id-10-2-7,7,7,True,13.086619999739924
1,id-10-3-2,2,2,True,13.145173000339128
1,id-10-4-3,3,3,True,12.562330000037036
1,id-10-5-0,0,0,True,10.928810999757843
1,id-10-6-4,4,4,True,12.725162999231543
1,id-11-0-8,8,8,True,14.7247779996178
1,id-11-1-8,8,7,False,13.5048199999801
1,id-11-2-7,7,7,True,13.148295999599213
1,id-11-3-2,2,2,True,11.865413999657903
1,id-11-4-3,3,3,True,14.574293999430665
1,id-11-5-3,3,3,True,16.495479000695923
1,id-11-6-7,7,7,True,16.30524400025024
1,id-11-7-0,0,0,True,14.912947000084387
1,id-12-0-4,4,4,True,16.24822900066647
1,id-12-1-8,8,8,True,11.843969999972614
1,id-12-2-5,5,3,False,11.822839999695134
1,id-12-3-0,0,0,True,13.067766999483865
1,id-12-4-5,5,5,True,13.845448999745713
1,id-12-5-4,4,4,True,13.509987000361434
1,id-12-6-7,7,7,True,11.713914000210934
1,id-13-0-7,7,7,True,11.820726999758335
1,id-13-1-1,1,1,True,14.283111000622739
1,id-13-2-3,3,3,True,12.45604399991862
