page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,17.648512000050687
1,id-0-1-9,9,9,True,19.214655000041603
1,id-0-2-4,4,4,True,19.4196259999444
1,id-0-3-3,3,3,True,21.232064000059836
1,id-0-4-2,2,2,True,20.390302999885535
1,id-0-5-4,4,4,True,19.96398500000396
1,id-0-6-8,8,3,False,22.62923800003591
1,id-1-0-7,7,3,False,19.35156200011079
1,id-1-1-0,0,7,False,19.482234999941284
1,id-1-2-1,1,1,True,19.732624000198484
1,id-1-3-3,3,7,False,20.754117000024053
1,id-1-4-4,4,4,True,20.28373999996802
1,id-2-0-7,7,2,False,20.608017999848016
1,id-2-1-6,6,4,False,22.298574999922494
1,id-2-2-2,2,2,True,22.2373429999152
1,id-2-3-5,5,3,False,22.686554000074466
1,id-2-4-8,8,4,False,21.239996000076644
1,id-3-0-0,0,0,True,19.965531000025294
1,id-3-1-8,8,8,True,22.291393000159587
1,id-3-2-6,6,4,False,20.301442000118186
1,id-3-3-6,6,6,True,21.01832700009254
1,id-3-4-4,4,4,True,23.132717999942543
1,id-3-5-3,3,3,True,20.077253999943423
1,id-4-0-2,2,2,True,20.28965799991056
1,id-4-1-9,9,3,False,23.639057999844226
1,id-4-2-4,4,6,False,21.05050799991659
1,id-5-0-5,5,5,True,22.399128999950335
1,id-5-1-1,1,1,True,22.08912799983409
1,id-6-0-6,6,6,True,20.80934800005707
1,id-7-0-1,1,1,True,22.626494000178354
1,id-7-1-1,1,1,True,19.755428000053143
1,id-8-0-0,0,0,True,20.753021000018634
1,id-8-1-7,7,7,True,23.220600999820817
1,id-8-2-7,7,7,True,20.71289900004558
1,id-9-0-5,5,5,True,23.072026000136248
1,id-9-1-6,6,6,True,23.52270699998371
1,id-9-2-3,3,5,False,21.710423000058654
1,id-9-3-7,7,7,True,20.972414999960165
1,id-9-4-8,8,2,False,20.958514000085415
1,id-10-0-8,8,0,False,20.64438699994753
1,id-10-1-1,1,1,True,21.54473899986442
1,id-10-2-7,7,7,True,20.91623899991646
1,id-10-3-2,2,2,True,23.433939000142345
1,id-10-4-3,3,3,True,20.924025000113033
1,id-10-5-0,0,0,True,22.083547000192993
1,id-10-6-4,4,4,True,22.067146000154025
1,id-11-0-8,8,8,True,20.978016000071875
1,id-11-1-8,8,2,False,24.735773999964294
1,id-11-2-7,7,7,True,21.592605000023468
1,id-11-3-2,2,7,False,22.00894999987213
1,id-11-4-3,3,3,True,20.55257899996832
1,id-11-5-3,3,3,True,21.259859999872788
1,id-11-6-7,7,7,True,21.834112000078676
1,id-11-7-0,0,7,False,22.070620000022245
1,id-12-0-4,4,5,False,20.76246599995102
1,id-12-1-8,8,6,False,23.688368999955856
1,id-12-2-5,5,6,False,21.546615000033853
1,id-12-3-0,0,4,False,22.01861599996846
1,id-12-4-5,5,5,True,24.003429000003962
1,id-12-5-4,4,5,False,22.361772000067504
1,id-12-6-7,7,7,True,22.99238799992054
1,id-13-0-7,7,7,True,20.3962190000766
1,id-13-1-1,1,1,True,22.759906999908708
1,id-13-2-3,3,3,True,21.189508000134083
1,id-13-3-6,6,6,True,24.93698700004643
1,id-13-4-3,3,5,False,21.545069000012518
1,id-14-0-2,2,2,True,20.2793500000098
1,id-14-1-5,5,5,True,22.620104999987234
1,id-14-2-4,4,0,False,21.72111100003349
1,id-14-3-2,2,2,True,26.746659000082218
1,id-14-4-2,2,0,False,20.897886000057042
1,id-14-5-0,0,0,True,23.917998000115404
1,id-14-6-7,7,7,True,20.452816999977586
1,id-15-0-6,6,6,True,20.530483999891658
1,id-16-0-3,3,3,True,22.624767000024804
1,id-16-1-6,6,6,True,20.544922999988557
1,id-16-2-9,9,3,False,20.170213000028525
1,id-16-3-1,1,1,True,23.085903000037433
1,id-17-0-7,7,7,True,20.41043700000955
1,id-17-1-2,2,2,True,20.210976000043956
1,id-17-2-1,1,1,True,23.429581000073085
1,id-17-3-2,2,2,True,21.11000900004001
1,id-18-0-6,6,6,True,20.58029600016198
1,id-18-1-3,3,3,True,25.145168999870293
1,id-18-2-7,7,7,True,25.62708699997529
1,id-19-0-3,3,3,True,23.961327000051824
1,id-19-1-1,1,0,False,26.165785000102915
1,id-19-2-3,3,3,True,22.881308000023637
1,id-19-3-4,4,4,True,24.02024499997424
1,id-19-4-7,7,7,True,20.78206200008026
1,id-19-5-8,8,7,False,23.756764999916413
1,id-19-6-8,8,8,True,21.70541000009507
1,id-19-7-5,5,5,True,22.13125899993429
1,id-20-0-3,3,9,False,21.454647999917142
1,id-20-1-7,7,7,True,20.44035599988092
1,id-20-2-5,5,5,True,21.583321999969485
1,id-20-3-3,3,3,True,21.96360499988259
1,id-20-4-0,0,2,False,20.783568000069863
1,id-20-5-2,2,2,True,20.585753999966983
1,id-20-6-7,7,3,False,21.303984000041964
1,id-20-7-6,6,3,False,20.80196200017781
1,id-21-0-2,2,2,True,20.37828799984709
1,id-21-1-6,6,6,True,21.782418999919173
1,id-21-2-3,3,3,True,23.889588999963962
1,id-21-3-7,7,2,False,20.25188800007527
1,id-21-4-3,3,3,True,19.94087999992189
1,id-21-5-8,8,8,True,19.620027999962986
1,id-22-0-7,7,7,True,19.791172999930495
