page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,17.553179999822532
1,id-0-1-9,9,9,True,18.136629999844445
1,id-0-2-4,4,4,True,19.912536999981967
1,id-0-3-3,3,2,False,21.006490999980088
1,id-0-4-2,2,2,True,19.638137000129063
1,id-0-5-4,4,4,True,19.36795100004929
1,id-0-6-8,8,3,False,19.458686999996644
1,id-1-0-7,7,3,False,19.318527999985236
1,id-1-1-0,0,8,False,19.100871999853553
1,id-1-2-1,1,1,True,18.19649699996262
1,id-1-3-3,3,7,False,19.052155000053972
1,id-1-4-4,4,4,True,19.260180999935983
1,id-2-0-7,7,7,True,18.967747999795392
1,id-2-1-6,6,4,False,19.491517999995267
1,id-2-2-2,2,2,True,20.27393700018365
1,id-2-3-5,5,4,False,20.017419999931008
1,id-2-4-8,8,0,False,19.721263000064937
1,id-3-0-0,0,3,False,19.197166999902038
1,id-3-1-8,8,2,False,19.822384000008242
1,id-3-2-6,6,4,False,21.43051899997772
1,id-3-3-6,6,4,False,19.28917200007163
1,id-3-4-4,4,4,True,18.95756499993695
1,id-3-5-3,3,3,True,19.931252000105815
1,id-4-0-2,2,2,True,21.85731500003385
1,id-4-1-9,9,2,False,19.836983000004693
1,id-4-2-4,4,5,False,18.96219199988991
1,id-5-0-5,5,3,False,21.664207000185343
1,id-5-1-1,1,1,True,20.367976999978055
1,id-6-0-6,6,6,True,19.59031399997002
1,id-7-0-1,1,1,True,21.57747899991591
1,id-7-1-1,1,1,True,20.488170000135142
1,id-8-0-0,0,0,True,19.665562000000136
1,id-8-1-7,7,2,False,19.542301000001316
1,id-8-2-7,7,7,True,20.84468799989736
1,id-9-0-5,5,5,True,19.40762600020207
1,id-9-1-6,6,6,True,19.519167999987985
1,id-9-2-3,3,5,False,20.90434899992033
1,id-9-3-7,7,7,True,19.824682000034954
1,id-9-4-8,8,3,False,20.386680000001434
1,id-10-0-8,8,7,False,20.81562400007897
1,id-10-1-1,1,1,True,19.843962999857467
1,id-10-2-7,7,7,True,20.810887999914485
1,id-10-3-2,2,2,True,18.917331000011472
1,id-10-4-3,3,3,True,20.613931000070806
1,id-10-5-0,0,0,True,19.961813000008988
1,id-10-6-4,4,4,True,18.982470999844736
1,id-11-0-8,8,8,True,19.056136000017432
1,id-11-1-8,8,8,True,20.312330000024303
1,id-11-2-7,7,7,True,19.752154000116207
1,id-11-3-2,2,2,True,19.200920999992377
1,id-11-4-3,3,3,True,21.087531000148374
1,id-11-5-3,3,7,False,22.85421999999926
1,id-11-6-7,7,7,True,21.52563899994675
1,id-11-7-0,0,0,True,20.20448899997973
1,id-12-0-4,4,5,False,19.361093000043184
1,id-12-1-8,8,6,False,20.039074000123946
1,id-12-2-5,5,5,True,21.043811000026835
1,id-12-3-0,0,5,False,20.324518000052194
1,id-12-4-5,5,5,True,19.090225000127248
1,id-12-5-4,4,6,False,18.31494900011421
1,id-12-6-7,7,7,True,19.78098399990813
1,id-13-0-7,7,7,True,17.596073000049728
1,id-13-1-1,1,1,True,19.198314999812283
1,id-13-2-3,3,3,True,18.86551400002645
1,id-13-3-6,6,6,True,19.258004999983314
1,id-13-4-3,3,8,False,20.303309999917474
1,id-14-0-2,2,2,True,19.5660219999354
1,id-14-1-5,5,5,True,24.42995600017639
1,id-14-2-4,4,3,False,25.325717999976405
1,id-14-3-2,2,2,True,27.011424000193074
1,id-14-4-2,2,2,True,29.141979000087304
1,id-14-5-0,0,8,False,21.404372999995758
1,id-14-6-7,7,7,True,22.857654999825172
1,id-15-0-6,6,6,True,23.17884000012782
1,id-16-0-3,3,3,True,20.03708999995979
1,id-16-1-6,6,6,True,21.397450999984358
1,id-16-2-9,9,9,True,20.6205960000716
1,id-16-3-1,1,1,True,20.115219999979672
1,id-17-0-7,7,7,True,23.743136999883063
1,id-17-1-2,2,2,True,21.72733700012941
1,id-17-2-1,1,1,True,22.437319000118805
1,id-17-3-2,2,2,True,21.850115999995978
1,id-18-0-6,6,6,True,20.60535999999047
1,id-18-1-3,3,3,True,22.37721300002704
1,id-18-2-7,7,7,True,20.60635399993771
1,id-19-0-3,3,3,True,22.197748000053252
1,id-19-1-1,1,1,True,20.749207000108072
1,id-19-2-3,3,3,True,21.70425500003148
1,id-19-3-4,4,4,True,21.745049999935873
1,id-19-4-7,7,7,True,21.34715000011056
1,id-19-5-8,8,8,True,19.604267999966396
1,id-19-6-8,8,8,True,19.455496000091443
1,id-19-7-5,5,1,False,20.410615999935544
1,id-20-0-3,3,3,True,20.47864800010757
1,id-20-1-7,7,7,True,20.315987000003588
1,id-20-2-5,5,5,True,23.052406999795494
1,id-20-3-3,3,3,True,20.337352000069586
1,id-20-4-0,0,7,False,21.233464000033564
1,id-20-5-2,2,2,True,21.20995700011008
1,id-20-6-7,7,7,True,20.219400000087262
1,id-20-7-6,6,3,False,19.666982999979155
1,id-21-0-2,2,2,True,22.0918630000142
1,id-21-1-6,6,6,True,20.4463489999398
1,id-21-2-3,3,3,True,21.412726999869847
1,id-21-3-7,7,7,True,21.839073000137432
1,id-21-4-3,3,3,True,21.1601089999931
1,id-21-5-8,8,8,True,22.896434000131194
1,id-22-0-7,7,7,True,23.078541000131736
1,id-22-1-2,2,2,True,22.9919289999998
1,id-22-2-7,7,7,True,21.467927999992753
1,id-22-3-5,5,5,True,20.418215000063356
1,id-22-4-4,4,4,True,22.498763999919902
1,id-22-5-3,3,3,True,20.866968000063935
1,id-22-6-6,6,4,False,20.149822999883327
1,id-23-0-6,6,6,True,21.665333000100873
1,id-23-1-0,0,3,False,23.306337999883908
1,id-23-2-4,4,3,False,21.490077000180463
1,id-23-3-9,9,9,True,23.6941669998032
1,id-23-4-0,0,1,False,23.281809999843972
1,id-23-5-0,0,0,True,22.838638999928662
1,id-23-6-1,1,1,True,20.390361999943707
1,id-24-0-9,9,3,False,21.765081000012287
1,id-24-1-2,2,7,False,20.721808999951463
1,id-24-2-6,6,6,True,20.222938999950202
1,id-24-3-1,1,1,True,21.68954300009318
1,id-24-4-4,4,4,True,20.885696000050302
1,id-24-5-8,8,8,True,20.966005999980553
1,id-25-0-0,0,0,True,22.09871199988811
1,id-25-1-1,1,1,True,21.37488400012444
1,id-26-0-3,3,0,False,20.66497700002401
1,id-26-1-6,6,6,True,22.80742600009944
