page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,12.202533000163385
1,id-0-1-9,9,9,True,13.012183999308036
1,id-0-2-4,4,4,True,12.734730000374839
1,id-0-3-3,3,3,True,13.274167000417947
1,id-0-4-2,2,2,True,14.140127000246139
1,id-0-5-4,4,4,True,11.53243799944903
1,id-0-6-8,8,3,False,10.777445999337942
1,id-1-0-7,7,3,False,15.456768999683845
1,id-1-1-0,0,7,False,16.252405000159342
1,id-1-2-1,1,1,True,26.226741000755283
1,id-1-3-3,3,7,False,16.005098999812617
1,id-1-4-4,4,3,False,13.102633000016795
1,id-2-0-7,7,7,True,14.063935999729438
1,id-2-1-6,6,4,False,11.707671000294795
1,id-2-2-2,2,2,True,11.793143000431883
1,id-2-3-5,5,2,False,12.889335000181745
1,id-2-4-8,8,9,False,12.680557000749104
1,id-3-0-0,0,0,True,12.758890999975847
1,id-3-1-8,8,8,True,10.797597000419046
1,id-3-2-6,6,4,False,11.916144000679196
1,id-3-3-6,6,6,True,13.0479400004333
1,id-3-4-4,4,4,True,12.767917000019224
1,id-3-5-3,3,3,True,12.747037000735872
1,id-4-0-2,2,3,False,11.119503999907465
1,id-4-1-9,9,3,False,14.141513000140549
1,id-4-2-4,4,0,False,13.490396000634064
1,id-5-0-5,5,5,True,12.487636000514613
1,id-5-1-1,1,1,True,11.927796000236413
1,id-6-0-6,6,6,True,10.624876000292716
1,id-7-0-1,1,1,True,12.384266000481148
1,id-7-1-1,1,1,True,13.553329999922425
1,id-8-0-0,0,0,True,15.736547999949835
1,id-8-1-7,7,7,True,17.84211399990454
1,id-8-2-7,7,7,True,15.027691999421222
1,id-9-0-5,5,5,True,13.385520000156248
1,id-9-1-6,6,6,True,13.241030000244791
1,id-9-2-3,3,5,False,12.241632000041136
1,id-9-3-7,7,7,True,12.168922999990173
1,id-9-4-8,8,2,False,22.184370000104536
1,id-10-0-8,8,8,True,11.518740000610705
1,id-10-1-1,1,1,True,15.801991000444104
1,id-10-2-7,7,2,False,12.360304000139877
1,id-10-3-2,2,2,True,13.07746499969653
1,id-10-4-3,3,3,True,12.640945000384818
1,id-10-5-0,0,9,False,12.424337000084051
1,id-10-6-4,4,4,True,10.785226000734838
1,id-11-0-8,8,8,True,12.811001000045508
1,id-11-1-8,8,2,False,12.614379999831726
1,id-11-2-7,7,7,True,13.798732999930508
1,id-11-3-2,2,2,True,14.889357999891217
1,id-11-4-3,3,7,False,16.124897000736382
1,id-11-5-3,3,3,True,15.64773999962199
1,id-11-6-7,7,7,True,18.46388099966134
1,id-11-7-0,0,0,True,15.992552999705367
1,id-12-0-4,4,6,False,15.456066999831819
1,id-12-1-8,8,6,False,15.534886999375885
1,id-12-2-5,5,5,True,15.646021000065957
1,id-12-3-0,0,4,False,18.597341999338823
1,id-12-4-5,5,5,True,16.53631099998165
1,id-12-5-4,4,5,False,16.221999999288528
1,id-12-6-7,7,7,True,15.165891999458836
1,id-13-0-7,7,7,True,15.06561799942574
1,id-13-1-1,1,1,True,15.53158299975621
1,id-13-2-3,3,3,True,15.727888999208517
1,id-13-3-6,6,6,True,15.031473999442824
1,id-13-4-3,3,5,False,16.4134880005804
1,id-14-0-2,2,2,True,17.023796000103175
1,id-14-1-5,5,5,True,16.200100999412825
1,id-14-2-4,4,0,False,13.547691999519884
1,id-14-3-2,2,7,False,15.160279999690829
1,id-14-4-2,2,0,False,14.553869000337727
1,id-14-5-0,0,0,True,13.628296999740996
1,id-14-6-7,7,7,True,13.994349999848055
1,id-15-0-6,6,6,True,12.974967000445758
1,id-16-0-3,3,3,True,16.687174999788112
1,id-16-1-6,6,6,True,18.45134999985021
1,id-16-2-9,9,3,False,17.38466300048458
1,id-16-3-1,1,1,True,24.061958999482158
1,id-17-0-7,7,7,True,18.95776399942406
1,id-17-1-2,2,2,True,12.224348999552603
1,id-17-2-1,1,1,True,20.862533000581607
