page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,17.053826000164918
1,id-0-1-9,9,9,True,18.98706899987701
1,id-0-2-4,4,4,True,18.08706099996016
1,id-0-3-3,3,3,True,20.845669999971506
1,id-0-4-2,2,2,True,20.17293999983849
1,id-0-5-4,4,4,True,19.650541999908455
1,id-0-6-8,8,8,True,20.089178000034735
1,id-1-0-7,7,7,True,19.64754699997684
1,id-1-1-0,0,0,True,19.21720599989385
1,id-1-2-1,1,1,True,19.092937000095844
1,id-1-3-3,3,3,True,19.49299000011706
1,id-1-4-4,4,4,True,20.359912999992957
1,id-2-0-7,7,7,True,20.52232999994885
1,id-2-1-6,6,6,True,19.696848999956273
1,id-2-2-2,2,2,True,23.49407799988512
1,id-2-3-5,5,5,True,23.67574999993849
1,id-2-4-8,8,8,True,22.487540999918565
1,id-3-0-0,0,0,True,21.11040799991315
1,id-3-1-8,8,8,True,19.663454999999885
1,id-3-2-6,6,4,False,23.37416399996073
1,id-3-3-6,6,6,True,20.05433199997242
1,id-3-4-4,4,4,True,20.172045999970578
1,id-3-5-3,3,3,True,22.651128000006793
1,id-4-0-2,2,2,True,21.562560000120357
1,id-4-1-9,9,8,False,20.892559999992955
1,id-4-2-4,4,4,True,21.375893999902473
1,id-5-0-5,5,5,True,19.067324000161534
1,id-5-1-1,1,1,True,19.637770000144883
1,id-6-0-6,6,6,True,20.542268000099284
1,id-7-0-1,1,1,True,19.525322999925265
1,id-7-1-1,1,1,True,19.706185999893933
1,id-8-0-0,0,0,True,18.90626600015821
1,id-8-1-7,7,7,True,19.85819099991204
1,id-8-2-7,7,7,True,21.3201310000386
1,id-9-0-5,5,5,True,19.098383000027752
1,id-9-1-6,6,6,True,18.854357999998683
1,id-9-2-3,3,3,True,19.56906500004152
1,id-9-3-7,7,3,False,23.061252000161403
1,id-9-4-8,8,3,False,20.10949000009532
1,id-10-0-8,8,8,True,22.183770000083314
1,id-10-1-1,1,3,False,20.383141000138494
1,id-10-2-7,7,7,True,19.770625000091968
1,id-10-3-2,2,2,True,19.91098200005581
1,id-10-4-3,3,3,True,20.38905499989596
1,id-10-5-0,0,0,True,20.299486000112665
1,id-10-6-4,4,4,True,19.98704900006487
